record_source,priority,category,assignment_group,location,contact_type,impact,urgency,reassignment_count,reopen_count,sla_target_minutes,breached
EXTERNAL_SERVICENOW,3 - Moderate,Category 37,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Field Services,Nairobi,Portal,Low,Low,0,1,1440,1
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Field Services,Kisumu,Portal,Medium,Low,1,0,1440,0
SIMULATED_CONTRACTORLINK,High,Incident Support,Field Services,Countrywide,Email,Medium,Medium,1,0,480,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 64,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Delivery,Countrywide,Portal,Medium,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Relocation,IT Support,Mombasa,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 70,Location 38,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 57,Group 24,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Incident Support,Field Services,Kisumu,Email,Low,High,1,0,480,0
SIMULATED_CONTRACTORLINK,High,Relocation,Delivery,Kisumu,Portal,Medium,High,0,0,480,1
SIMULATED_CONTRACTORLINK,High,Delivery,Field Services,Nairobi,Portal,Low,Medium,1,0,480,1
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Relocation Operations,Kisumu,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 55,Group 70,Location 231,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 20,Group 70,Location 43,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Delivery,Nairobi,Portal,Medium,Low,0,1,1440,0
SIMULATED_CONTRACTORLINK,High,Incident Support,Field Services,Countrywide,Portal,Medium,Medium,1,1,480,0
SIMULATED_CONTRACTORLINK,High,Relocation,Delivery,Countrywide,Portal,Medium,High,0,0,480,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Relocation Operations,Nairobi,Email,Low,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 57,Group 51,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 23,Group 20,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Maintenance,Nairobi,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Inspection,Field Services,Kisumu,Portal,Low,Medium,1,0,480,0
EXTERNAL_SERVICENOW,4 - Low,Category 42,Group 70,Location 143,Phone,3 - Low,3 - Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 32,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Relocation Operations,Kisumu,Portal,Low,Low,0,0,1440,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 51,Group 64,Location 125,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Maintenance,Countrywide,Portal,Low,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Maintenance,Countrywide,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 5,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 61,?,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Relocation,IT Support,Mombasa,Portal,Medium,Medium,0,0,480,0
SIMULATED_CONTRACTORLINK,High,Delivery,Delivery,Kisumu,Portal,Medium,Medium,1,0,480,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 188,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 35,Group 70,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Field Services,Nairobi,Portal,Low,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 51,Group 72,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Incident Support,Maintenance,Countrywide,Portal,Low,High,0,0,480,0
SIMULATED_CONTRACTORLINK,High,Maintenance,Maintenance,Kisumu,Portal,Low,Medium,0,0,480,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Delivery,Mombasa,Portal,Low,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Incident Support,IT Support,Mombasa,Email,Low,High,1,1,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 37,Group 46,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Field Services,Countrywide,Portal,Medium,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Incident Support,IT Support,Countrywide,Phone,Medium,High,1,0,480,0
SIMULATED_CONTRACTORLINK,Critical,Maintenance,IT Support,Mombasa,Email,High,Medium,0,0,240,0
SIMULATED_CONTRACTORLINK,Critical,Maintenance,Delivery,Nairobi,Portal,High,Medium,0,1,240,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Delivery,Countrywide,Phone,Low,Low,1,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,IT Support,Countrywide,Phone,Medium,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,IT Support,Kisumu,Portal,High,High,0,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 24,Group 24,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Relocation Operations,Countrywide,Portal,Medium,Low,1,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Relocation Operations,Countrywide,Portal,Low,Low,2,1,1440,1
SIMULATED_CONTRACTORLINK,High,Relocation,Maintenance,Nairobi,Portal,Low,High,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 51,Group 64,Location 125,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 13,Group 70,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Relocation,Delivery,Nairobi,Portal,Low,Low,1,0,1440,0
SIMULATED_CONTRACTORLINK,High,Maintenance,IT Support,Countrywide,Email,Medium,High,0,1,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 197,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Inspection,Delivery,Mombasa,Email,Medium,Medium,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 40,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Inspection,IT Support,Mombasa,Portal,Low,High,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 32,Group 70,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 51,Group 64,Location 188,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 31,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 59,Group 72,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 35,Group 70,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,2 - High,Category 23,Group 20,Location 143,Phone,2 - Medium,1 - High,0,0,480,0
SIMULATED_CONTRACTORLINK,High,Incident Support,Maintenance,Kisumu,Portal,Low,Medium,0,1,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 9,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Relocation,Maintenance,Mombasa,Portal,Low,Medium,0,0,480,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,IT Support,Mombasa,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 124,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 97,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Incident Support,Maintenance,Mombasa,Email,High,Medium,0,0,240,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 128,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Delivery,Nairobi,Portal,Medium,Low,0,1,1440,0
SIMULATED_CONTRACTORLINK,Normal,Relocation,Maintenance,Countrywide,Email,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 12,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 66,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 37,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Inspection,Field Services,Countrywide,Phone,High,Medium,0,0,240,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 76,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Maintenance,Maintenance,Nairobi,Email,High,High,2,0,240,1
EXTERNAL_SERVICENOW,3 - Moderate,?,?,?,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 57,Location 173,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 55,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Relocation,Delivery,Kisumu,Portal,Low,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Delivery,Maintenance,Kisumu,Phone,Low,High,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 70,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 2,Group 70,Location 161,Self service,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Maintenance,Nairobi,Portal,Medium,Low,1,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 45,Group 31,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Maintenance,Kisumu,Email,Low,Low,0,0,1440,0
EXTERNAL_SERVICENOW,4 - Low,Category 28,Group 70,Location 188,Phone,3 - Low,3 - Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,Maintenance,Nairobi,Portal,High,High,1,0,240,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Relocation Operations,Nairobi,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 37,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Maintenance,Delivery,Mombasa,Phone,Low,Medium,1,1,480,0
SIMULATED_CONTRACTORLINK,Critical,Relocation,Relocation Operations,Nairobi,Email,High,High,0,0,240,0
SIMULATED_CONTRACTORLINK,High,Incident Support,Field Services,Nairobi,Portal,Low,High,1,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 37,Group 48,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 76,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,IT Support,Nairobi,Portal,Medium,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Relocation Operations,Kisumu,Phone,Medium,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Inspection,Maintenance,Kisumu,Portal,High,Medium,2,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 40,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Delivery,IT Support,Kisumu,Portal,Medium,Medium,1,0,480,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,Relocation Operations,Kisumu,Phone,High,High,0,0,240,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 20,Group 70,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 61,?,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 51,Group 64,Location 188,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 229,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Maintenance,Delivery,Nairobi,Portal,High,High,0,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 24,Group 24,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,Field Services,Nairobi,Email,High,High,1,0,240,1
EXTERNAL_SERVICENOW,2 - High,Category 45,Group 39,Location 51,Phone,2 - Medium,1 - High,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 51,Group 64,Location 188,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,Relocation Operations,Kisumu,Email,High,Medium,0,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 32,Group 70,Location 56,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,2 - High,Category 42,Group 53,Location 188,Phone,1 - High,2 - Medium,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 135,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 23,Group 20,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 44,Group 5,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Incident Support,Field Services,Kisumu,Portal,High,High,0,0,240,1
SIMULATED_CONTRACTORLINK,Normal,Inspection,Field Services,Nairobi,Email,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 32,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Delivery,Relocation Operations,Nairobi,Portal,Medium,Medium,0,1,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 57,Group 65,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Maintenance,Nairobi,Portal,Medium,Low,0,0,1440,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 130,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 44,Group 5,Location 42,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Incident Support,Relocation Operations,Mombasa,Email,High,High,3,0,240,1
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Delivery,Mombasa,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 20,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 23,Group 62,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Incident Support,Delivery,Nairobi,Portal,High,Medium,2,0,240,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 23,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 45,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 27,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 35,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,Delivery,Kisumu,Email,High,Medium,0,0,240,1
SIMULATED_CONTRACTORLINK,Normal,Inspection,Delivery,Countrywide,Portal,Medium,Low,1,1,1440,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 45,Group 70,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 35,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 9,Group 27,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 45,Group 55,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 37,Group 46,Location 210,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 57,Group 65,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Maintenance,Nairobi,Email,Low,Low,1,0,1440,1
SIMULATED_CONTRACTORLINK,Normal,Relocation,Delivery,Kisumu,Portal,Low,Low,1,0,1440,0
SIMULATED_CONTRACTORLINK,High,Relocation,Field Services,Nairobi,Email,Medium,High,0,0,480,1
EXTERNAL_SERVICENOW,2 - High,Category 61,Group 73,Location 33,Phone,2 - Medium,1 - High,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Maintenance,Field Services,Kisumu,Portal,Low,Medium,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 32,Group 70,Location 161,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 70,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Relocation,Relocation Operations,Countrywide,Portal,Medium,High,0,0,480,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,IT Support,Kisumu,Portal,Low,Low,1,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Delivery,Kisumu,Portal,Low,Low,0,0,1440,0
